Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.745000,-104.140000,0.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",84.137500,-84.455000,0.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",96.837500,-102.552500,90.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",61.912500,-72.390000,0.000000,top
"C9","100pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",68.647500,-70.802500,-90.000000,top
"C10","100pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",84.455000,-86.042500,0.000000,top
"C11","100pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",118.110000,-90.487500,0.000000,top
"C13","100pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",95.250000,-101.985000,90.000000,top
"C14","100pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",118.495000,-74.930000,0.000000,top
"C17","47n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.682500,-80.010000,0.000000,top
"C18","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",68.580000,-80.010000,180.000000,top
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",68.500000,-81.600000,180.000000,top
"C20","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.742500,-102.552500,-90.000000,top
"C21","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.697500,-58.652500,90.000000,top
"C22","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.457500,-63.182500,180.000000,top
"C23","10pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",84.455000,-74.930000,180.000000,top
"C24","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",56.832500,-72.390000,180.000000,top
"D1","LED_red","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.377500,-58.420000,-90.000000,top
"D2","LED_yellow","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",101.917500,-58.420000,-90.000000,top
"D3","LED_green","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",104.457500,-58.420000,-90.000000,top
"D4","LED_blue","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",106.997500,-58.420000,-90.000000,top
"IC1","AD5933WYRSZ-REEL7","SOP65P780X200-16N",77.470000,-75.565000,180.000000,top
"IOEX1","MCP23017_SS","SSOP-28_5.3x10.2mm_P0.65mm",76.200000,-65.087500,-90.000000,top
"IOEX2","MCP23017_SS","SSOP-28_5.3x10.2mm_P0.65mm",79.375000,-100.965000,90.000000,top
"J1","INF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",99.695000,-74.930000,-90.000000,top
"J2","INF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",99.695000,-71.755000,90.000000,top
"J3","INF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",90.170000,-71.755000,90.000000,top
"J4","INF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",90.170000,-74.295000,-90.000000,top
"J5","0","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",93.345000,-76.200000,0.000000,top
"J6","0","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",88.265000,-75.247500,0.000000,top
"J7","0","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",88.265000,-71.437500,0.000000,top
"J8","0","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",103.505000,-75.882500,0.000000,top
