"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C8,C21,C18,C22,C24,C19,C2,C7,C1,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";10;"100nF";;;
2;"R42,R33,R36,R39,R38,R43,R48,R40,R44,R37,R32,R49,R34,R45,R46,R35,R31,R47,R41";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";19;"1M";;;
3;"R23,R15,R6,R56,R2,R53,R1,R3,R25,R16";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";10;"10k";;;
4;"R52";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"330";;;
5;"C9,C14,C13,C11,C10";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";5;"100pF";;;
6;"R61,R64,R60,R62,R63";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";5;"100k";;;
7;"R51,R50,R17";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"470";;;
8;"R58,R59";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"47k";;;
9;"C17";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"47n";;;
10;"CON2";"IDC-Header_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
11;"J13";"SolderWirePad_1x01_SMD_1x2mm";1;"Conn_01x01";;;
12;"J3,R5,R19,J2,R7,R24,R4,J1,J4,R18";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";10;"INF";;;
13;"REF**";"PinHeader_1x10_P2.54mm_Vertical";1;"PinHeader_1x10_P2.54mm_Vertical";;;
14;"R65,R67,R55,R54";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";4;"22k";;;
15;"CON1";"IDC-Header_2x08_P2.54mm_Vertical";1;"Conn_02x08_Odd_Even";;;
16;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_blue";;;
17;"IC1";"SOP65P780X200-16N";1;"AD5933WYRSZ-REEL7";;;
18;"J5,J9,J8,R_shunt1,J10,J6,J7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";7;"0";;;
19;"UC1";"Sparkfun_Pro_Micro";1;"Sparkfun_Pro_Micro";;;
20;"MUX1,MUX2,MUX3";"RU_28_ADI";3;"ADG1606BRUZ";;;
21;"Needle1";"Pin_D1.0mm_L10.0mm";1;"Conn_01x01_Male";;;
22;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_yellow";;;
23;"Y1";"ECS2200BX160";1;"ECS-2200BX-160";;;
24;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_green";;;
25;"CON3";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Male";;;
26;"AS1";"RU_16_ADI";1;"ADG1611BRUZ";;;
27;"OPA2,OPA1";"RM_8_ADI";2;"AD8606ARMZ-REEL";;;
28;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_red";;;
29;"J11";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
30;"C23";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10pF";;;
31;"IOEX1,IOEX2";"SSOP-28_5.3x10.2mm_P0.65mm";2;"MCP23017_SS";;;
32;"J12";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Male";;;
